"","c","t"
"671",146.05,1664914020000
"672",145.98,1664914080000
"673",146,1664914140000
"674",145.94,1664914200000
"675",145.96,1664914260000
"676",145.94,1664914320000
"677",145.89,1664914380000
"678",145.9,1664914440000
"679",145.92,1664914500000
"680",145.95,1664914560000
"681",145.91,1664914620000
"682",145.98,1664914680000
"683",145.92,1664914740000
"684",145.96,1664914800000
"685",145.92,1664914860000
"686",145.91,1664914920000
"687",145.96,1664914980000
"688",145.96,1664915040000
"689",145.96,1664915100000
"690",146.01,1664915160000
"691",146.07,1664915220000
"692",146.02,1664915280000
"693",146.02,1664915340000
"694",145.96,1664915400000
"695",146.03,1664915460000
"696",146.03,1664915520000
"697",146.06,1664915580000
"698",146.03,1664915640000
"699",146.09,1664915700000
"700",146.08,1664915760000
"701",146.05,1664915820000
"702",146.1,1664915880000
"703",146.1,1664915940000
"704",146.1,1.664916e+12
"705",146.03,1664916060000
"706",146.06,1664916180000
"707",146.03,1664916240000
"708",146.01,1664916300000
"709",146.01,1664916360000
"710",146.02,1664916420000
"711",145.95,1664916480000
"712",145.9985,1664916540000
"713",146.05,1664916600000
"714",145.99,1664916660000
"715",146,1664916720000
"716",146,1664916780000
"717",145.95,1664916840000
"718",146,1664916960000
"719",145.99,1664917020000
"720",145.98,1664917140000
"721",146.03,1664917200000
"722",146.06,1664917260000
"723",146.01,1664917320000
"724",145.9604,1664917380000
"725",146,1664917440000
"726",145.961,1664917500000
"727",145.98,1664917620000
"728",145.95,1664917680000
"729",145.96,1664917740000
"730",145.93,1664917800000
"731",146.04,1664917860000
"732",146.05,1664917920000
"733",145.97,1664918040000
"734",145.9,1664918100000
"735",145.91,1664918220000
"736",145.86,1664918280000
"737",145.87,1664918340000
"738",145.9,1664918400000
"739",145.95,1664918460000
"740",145.95,1664918520000
"741",145.9,1664918580000
"742",145.97,1664918640000
"743",145.95,1664918700000
"744",145.98,1664918880000
"745",145.97,1664918940000
"746",145.99,1664919060000
"747",145.99,1664919120000
"748",146,1664919180000
"749",146,1664919240000
"750",145.95,1664919300000
"751",145.9,1664919360000
"752",145.98,1664919480000
"753",145.98,1664919600000
"754",145.97,1664919660000
"755",145.95,1664919720000
"756",145.96,1664919840000
"757",145.96,1664919900000
"758",145.99,1664919960000
"759",146,1664920020000
"760",145.96,1664920080000
"761",145.98,1664920200000
"762",145.99,1664920320000
"763",145.97,1664920380000
"764",145.99,1664920620000
"765",145.99,1664920740000
"766",145.84,1664920800000
"767",145.72,1664920860000
"768",145.85,1664920920000
"769",145.86,1664920980000
"770",145.8,1664921100000
"771",145.72,1664921160000
"772",145.7,1664921280000
"773",145.76,1664921340000
"774",145.84,1664921400000
"775",145.75,1664921460000
"776",145.81,1664921520000
"777",145.76,1664921640000
"778",145.88,1664921700000
"779",145.8,1664921760000
"780",145.85,1664921820000
"781",145.88,1664921880000
"782",145.88,1664921940000
"783",145.85,1664922060000
"784",145.89,1664922120000
"785",145.89,1664922240000
"786",145.86,1664922420000
"787",145.79,1664922480000
"788",145.78,1664922540000
"789",145.71,1664922600000
"790",145.8,1664922660000
"791",145.75,1664922780000
"792",145.72,1664922900000
"793",145.66,1664922960000
"794",145.68,1664923140000
"795",145.66,1664923260000
"796",145.68,1664923440000
"797",145.67,1664923560000
"798",145.7,1664923620000
"799",145.75,1664923740000
"800",145.75,1664923800000
"801",145.75,1664923860000
"802",145.75,1664923920000
"803",145.77,1664923980000
"804",145.67,1664924100000
"805",145.67,1664924160000
"806",145.8,1664924220000
"807",145.81,1664924280000
"808",145.86,1664924400000
"809",145.88,1664924460000
"810",145.75,1664924520000
"811",145.75,1664924580000
"812",145.85,1664924640000
"813",145.8,1664924700000
"814",145.77,1664924760000
"815",145.71,1664924820000
"816",145.82,1664924940000
"817",145.81,1664925060000
"818",145.88,1664925120000
"819",145.88,1664925180000
"820",145.89,1664925240000
"821",145.88,1664925360000
"822",145.9,1664925420000
"823",145.9,1664925720000
"824",145.87,1664925780000
"825",145.9,1664926020000
"826",145.82,1664926080000
"827",145.8,1664926200000
"828",145.9,1664926320000
"829",145.87,1664926380000
"830",145.88,1664926440000
"831",145.92,1664926500000
"832",145.9,1664926560000
"833",145.9,1664926620000
"834",145.91,1664926680000
"835",145.91,1664926800000
"836",145.95,1664926860000
"837",145.95,1664926920000
"838",145.97,1664926980000
"839",145.96,1664927040000
"840",145.95,1664927100000
"841",145.97,1664927160000
"842",146,1664927220000
"843",146.01,1664927280000
"844",145.98,1664927400000
"845",145.98,1664927460000
"846",145.95,1664927520000
"847",145.95,1664927580000
"848",145.9,1664927640000
"849",145.9,1664927700000
"850",145.98,1664927760000
"851",145.93,1664927820000
"852",146.05,1664927880000
"853",146,1664927940000
"854",145.21,1664956800000
"855",145.21,1664956920000
"856",145.15,1664956980000
"857",145.15,1664957040000
"858",145,1664957280000
"859",145,1664957340000
"860",145,1664957400000
"861",144.93,1664957460000
"862",144.82,1664957520000
"863",145,1664957580000
"864",144.97,1664957640000
"865",144.91,1664957760000
"866",144.82,1664957940000
"867",144.75,1664958060000
"868",144.71,1664958120000
"869",144.51,1664958180000
"870",144.52,1664958240000
"871",144.47,1664958300000
"872",144.41,1664958360000
"873",144.37,1664958480000
"874",144.39,1664958600000
"875",144.37,1664958660000
"876",144.6,1664958900000
"877",144.68,1664958960000
"878",144.71,1664959140000
"879",144.69,1664959320000
"880",144.75,1664959500000
"881",144.75,1664959560000
"882",144.86,1664959620000
"883",144.84,1664959800000
"884",144.88,1664959860000
"885",144.92,1664959920000
"886",144.8,1664960400000
"887",144.65,1664960760000
"888",144.72,1664961060000
"889",144.77,1664961180000
"890",144.77,1664961240000
"891",144.84,1664961360000
"892",144.86,1664961480000
"893",144.88,1664961540000
"894",144.82,1664961600000
"895",144.84,1664961720000
"896",144.81,1664962140000
"897",144.89,1664962380000
"898",144.77,1664962740000
"899",144.75,1664962920000
"900",144.62,1664962980000
"901",144.62,1664963100000
"902",144.62,1664963160000
"903",144.61,1664963220000
"904",144.51,1664963400000
"905",144.52,1664963460000
"906",144.53,1664963580000
"907",144.43,1664963640000
"908",144.42,1664963700000
"909",144.4,1664963760000
"910",144.57,1664963940000
"911",144.62,1664964060000
"912",144.79,1664964240000
"913",144.79,1664964300000
"914",144.83,1664964420000
"915",144.77,1664964480000
"916",144.77,1664964540000
"917",144.62,1664965020000
"918",144.6,1664965080000
"919",144.6,1664965140000
"920",144.71,1664965200000
"921",144.88,1664965860000
"922",144.86,1664965980000
"923",144.84,1664966040000
"924",144.77,1664966160000
"925",144.8,1664966460000
"926",144.8,1664966580000
"927",144.88,1664967060000
"928",144.9,1664967120000
"929",144.93,1664967180000
"930",144.94,1664967480000
"931",144.93,1664967540000
"932",144.95,1664967600000
"933",144.98,1664967780000
"934",144.97,1664967840000
"935",144.92,1664967900000
"936",144.95,1664967960000
"937",144.95,1664968020000
"938",144.95,1664968080000
"939",144.91,1664968200000
"940",144.84,1664968260000
"941",144.85,1664968380000
"942",144.9,1664968440000
"943",144.88,1664968500000
"944",144.93,1664968560000
"945",144.95,1664968620000
"946",144.86,1664968740000
"947",144.89,1664968860000
"948",144.83,1664968920000
"949",144.84,1664968980000
"950",144.9,1664969100000
"951",144.9,1664969160000
"952",144.95,1664969340000
"953",145,1664969400000
"954",145,1664969460000
"955",144.97,1664969520000
"956",144.94,1664969580000
"957",144.9,1664969640000
"958",144.84,1664969700000
"959",144.8,1664969760000
"960",144.78,1664969820000
"961",144.82,1664969880000
"962",144.77,1664969940000
"963",144.85,1664970120000
"964",144.85,1664970180000
"965",144.82,1664970240000
"966",144.85,1664970300000
"967",144.85,1664970360000
"968",144.86,1664970420000
"969",144.78,1664970480000
"970",144.8,1664970600000
"971",144.78,1664970660000
"972",144.8,1664970720000
"973",144.8,1664970780000
"974",144.76,1664970840000
"975",144.7,1664970900000
"976",144.76,1664971020000
"977",144.8,1664971140000
"978",145.735,1664971200000
"979",144.8035,1664971260000
"980",144.81,1664971320000
"981",144.81,1664971380000
"982",144.76,1664971440000
"983",144.8299,1664971500000
"984",144.75,1664971560000
"985",144.74,1664971620000
"986",144.6286,1664971680000
"987",144.6797,1664971740000
"988",144.58,1664971800000
"989",144.7,1664971860000
"990",144.8,1664971920000
"991",144.76,1664971980000
"992",144.62,1664972040000
"993",144.53,1664972100000
"994",144.69,1664972160000
"995",144.78,1664972220000
"996",144.68,1664972280000
"997",144.63,1664972340000
"998",144.57,1664972400000
"999",144.59,1664972460000
"1000",144.58,1664972520000
"1001",144.54,1664972580000
"1002",144.53,1664972640000
"1003",144.58,1664972700000
"1004",144.55,1664972760000
"1005",144.49,1664972820000
"1006",144.52,1664972880000
"1007",144.6,1664972940000
"1008",144.64,1.664973e+12
"1009",144.58,1664973060000
"1010",144.67,1664973120000
"1011",144.66,1664973180000
"1012",144.7,1664973240000
"1013",144.66,1664973300000
"1014",144.75,1664973360000
"1015",144.75,1664973420000
"1016",144.78,1664973480000
"1017",144.76,1664973540000
"1018",144.8,1664973600000
"1019",144.76,1664973660000
"1020",144.75,1664973720000
"1021",144.66,1664973780000
"1022",144.68,1664973840000
"1023",144.65,1664973900000
"1024",144.64,1664973960000
